Fecha,Pruebas,Incidentes,H,H_UCI,Defunciones,Asint_H_<45,Asint_H_45a64,Asint_H_+65,Sint_H_<45,Sint_H_45a64,Sint_H_+65,Asint_M_<45,Asint_M_45a64,Asint_M_+65,Sint_M_<45,Sint_M_45a64,Sint_M_+65,Asintomaticos
2020-08-12,1574.0,131.0,52.0,10.0,0.0,14.0,4.0,0.0,28.0,6.0,5.0,17.0,3.0,0.0,23.0,9.0,4.0,38.0
2020-08-13,1989.0,139.0,64.0,13.0,0.0,30.0,3.0,1.0,27.0,13.0,3.0,23.0,6.0,2.0,23.0,12.0,1.0,65.0
2020-08-14,2140.0,137.0,73.0,14.0,0.0,22.0,5.0,2.0,24.0,10.0,1.0,18.0,7.0,0.0,39.0,11.0,2.0,54.0
2020-08-15,2065.0,153.0,78.0,13.0,2.0,30.0,8.0,0.0,29.0,10.0,2.0,14.0,3.0,2.0,30.0,9.0,1.0,57.0
2020-08-16,2034.0,81.0,77.0,12.0,0.0,12.0,2.0,4.0,23.0,5.0,1.0,3.0,2.0,0.0,17.0,5.0,2.0,23.0
2020-08-17,829.0,97.0,98.0,15.0,0.0,11.0,2.0,0.0,30.0,9.0,6.0,6.0,2.0,0.0,22.0,4.0,4.0,21.0
2020-08-18,1912.0,116.0,100.0,17.0,1.0,12.0,2.0,1.0,24.0,7.0,0.0,10.0,2.0,1.0,35.0,8.0,1.0,28.0
2020-08-19,1868.0,120.0,106.0,15.0,0.0,12.0,7.0,0.0,32.0,10.0,6.0,10.0,1.0,0.0,31.0,11.0,5.0,30.0
2020-08-20,2123.0,163.0,112.0,15.0,1.0,13.0,4.0,1.0,36.0,21.0,5.0,24.0,3.0,1.0,49.0,13.0,5.0,46.0
2020-08-21,2312.0,245.0,116.0,16.0,0.0,39.0,8.0,4.0,49.0,26.0,6.0,30.0,18.0,0.0,65.0,32.0,10.0,99.0
